,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Bambanglipuro,ID,-7.95,110.28,85.17,66,0,13.42,clear sky
83,Motril,ES,36.75,-3.52,63.0,83,8,1.01,clear sky
84,Innisfail,AU,-17.53,146.03,89.01,36,0,3.0,clear sky
85,Mbaiki,CF,3.87,17.99,76.44,85,100,1.97,overcast clouds
86,Tiksi,RU,71.69,128.87,-6.38,92,69,3.13,broken clouds
87,Kenora,CA,49.82,-94.43,33.8,86,75,8.05,broken clouds
88,Haverfordwest,GB,51.8,-4.97,46.4,87,98,4.7,overcast clouds
89,Linxia,CN,35.6,103.21,50.14,44,0,3.4,clear sky
90,Lorengau,PG,-2.02,147.27,84.13,75,22,10.45,few clouds
91,Moose Factory,CA,51.26,-80.61,30.2,92,90,3.36,light rain
92,Meulaboh,ID,4.14,96.13,80.76,81,100,3.71,light rain
93,Victoria,HK,22.29,114.16,84.99,48,45,15.99,scattered clouds
94,Viedma,AR,-40.81,-63.0,46.99,93,0,5.86,clear sky
95,Thompson,CA,55.74,-97.86,14.0,92,90,6.93,light snow
96,Trelew,AR,-43.25,-65.31,49.15,77,13,10.25,few clouds
97,Kaitangata,NZ,-46.28,169.85,46.99,86,100,7.0,overcast clouds
98,Fairbanks,US,64.84,-147.72,30.0,96,100,5.93,overcast clouds
99,Carnarvon,AU,-24.87,113.63,77.0,73,75,18.34,broken clouds
100,Avarua,CK,-21.21,-159.78,73.4,88,1,1.12,clear sky
101,Hamilton,US,39.18,-84.53,53.01,100,1,2.44,mist
102,Miyazu,JP,35.53,135.18,62.6,100,75,2.24,light intensity shower rain
103,Vieste,IT,41.88,16.18,55.99,87,20,12.75,few clouds
104,Sakakah,SA,29.97,40.21,66.2,48,0,4.7,clear sky
105,Lata,PT,40.16,-8.33,55.99,91,18,1.01,few clouds
106,Kishtwar,IN,33.32,75.77,68.94,19,0,3.38,clear sky
107,Porbandar,IN,21.64,69.61,91.4,31,0,5.82,clear sky
108,Poum,NC,-20.23,164.02,77.95,79,0,21.3,clear sky
109,Kavieng,PG,-2.57,150.8,84.51,64,50,11.1,scattered clouds
110,Klaksvik,FO,62.23,-6.59,41.0,86,100,12.08,overcast clouds
111,Le Tampon,RE,-21.27,55.52,80.6,65,0,23.04,clear sky
112,Hangu,CN,39.25,117.79,66.2,13,0,13.42,clear sky
113,Port Blair,IN,11.67,92.75,84.83,68,0,10.54,clear sky
114,Hoi An,VN,15.88,108.33,82.4,61,20,11.41,few clouds
115,Inhambane,MZ,-23.86,35.38,82.4,83,40,18.34,scattered clouds
116,Itaituba,BR,-4.28,-55.98,73.83,94,99,2.3,overcast clouds
117,Ulundi,ZA,-28.34,31.42,80.04,53,31,2.26,scattered clouds
118,Mahebourg,MU,-20.41,57.7,80.6,61,40,11.41,scattered clouds
119,Bengkulu,ID,-3.8,102.27,82.92,80,100,6.69,light rain
120,Fortuna,US,40.6,-124.16,48.99,93,90,6.93,overcast clouds
121,Chifeng,CN,42.27,118.96,44.49,48,5,25.88,clear sky
122,Katiola,CI,8.13,-5.1,73.4,100,75,6.93,broken clouds
123,Kunming,CN,25.04,102.72,71.01,72,40,8.95,scattered clouds
124,Lisakovsk,KZ,52.54,62.49,42.44,66,100,13.15,light rain
125,Namibe,AO,-15.2,12.15,74.01,55,65,8.05,broken clouds
126,Havre-Saint-Pierre,CA,50.23,-63.6,37.4,100,90,8.05,overcast clouds
127,Ribeira Grande,PT,38.52,-28.7,59.67,68,75,27.83,broken clouds
128,Kananga,CD,-5.9,22.42,78.55,67,99,1.32,overcast clouds
129,Talnakh,RU,69.49,88.4,12.2,78,100,11.18,light snow
130,Inhambupe,BR,-11.78,-38.35,70.61,96,25,4.36,scattered clouds
131,Biak,ID,-0.91,122.88,83.1,72,14,6.42,light rain
132,Muroto,JP,33.28,134.15,71.6,88,75,5.82,broken clouds
133,Grand Forks,US,47.94,-97.43,30.2,92,20,16.11,few clouds
134,Ranong,TH,9.97,98.63,89.6,70,40,5.82,scattered clouds
135,Husavik,IS,66.04,-17.34,39.2,51,90,9.17,overcast clouds
136,Tasiilaq,GL,65.61,-37.64,28.4,86,100,32.21,light snow
137,Puerto Del Rosario,ES,28.5,-13.86,62.6,77,0,5.82,clear sky
138,Veraval,IN,20.9,70.37,88.03,34,0,4.7,clear sky
139,Houma,US,29.6,-90.72,70.0,88,75,8.05,broken clouds
140,Pevek,RU,69.7,170.31,18.84,95,99,7.02,overcast clouds
141,Scarborough,GB,54.28,-0.4,43.0,94,0,6.13,clear sky
142,Asyut,EG,27.18,31.18,60.8,63,0,4.7,clear sky
143,Batemans Bay,AU,-35.72,150.18,61.0,71,7,5.01,clear sky
144,Beringovskiy,RU,63.05,179.32,29.84,89,86,17.43,overcast clouds
145,Neiafu,TO,-18.65,-173.98,77.0,73,40,6.93,scattered clouds
146,Takoradi,GH,4.88,-1.76,78.96,87,13,6.87,few clouds
147,Port Elizabeth,ZA,-33.92,25.57,66.2,63,0,6.93,clear sky
148,Narsaq,GL,60.92,-46.05,30.2,86,100,9.17,light snow
149,Sabla,NG,12.75,4.71,76.08,25,0,12.97,clear sky
150,Muros,ES,42.78,-9.06,53.01,93,20,8.05,few clouds
151,Manama,BH,26.22,50.58,87.8,48,0,14.99,clear sky
152,Atuona,PF,-9.8,-139.03,78.19,78,3,20.36,light rain
153,Ruteng,ID,-8.61,120.47,76.37,71,7,0.34,light rain
154,Saint-Philippe,RE,-21.36,55.77,80.6,65,0,23.04,clear sky
155,Kerema,PG,-7.96,145.78,80.87,77,100,3.11,overcast clouds
156,Erenhot,CN,43.65,111.98,34.84,62,0,21.61,clear sky
157,Westport,US,41.14,-73.36,53.01,87,1,3.36,clear sky
158,Haimen,CN,23.19,116.61,84.2,54,75,8.95,broken clouds
159,Jaguarao,BR,-32.57,-53.38,60.42,93,36,7.36,scattered clouds
160,Tucupita,VE,9.06,-62.05,72.79,98,17,2.19,few clouds
161,Suntar,RU,62.14,117.63,3.9,91,100,6.89,overcast clouds
